id,datetime,route_name,direction,destination,line_name,description
8302607,2026-04-19 01:00:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
8309094,2026-04-19 01:48:00+02,194,"",Croydon (arriva),194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
8383589,2026-04-19 11:33:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8383485,2026-04-19 12:15:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8404354,2026-04-19 13:42:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8425827,2026-04-19 14:57:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8427840,2026-04-19 15:12:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8450110,2026-04-19 16:42:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8469668,2026-04-19 17:53:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8474050,2026-04-19 18:13:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8491784,2026-04-19 19:45:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8509789,2026-04-19 20:48:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8511983,2026-04-19 21:10:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8526837,2026-04-19 22:30:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8536148,2026-04-19 23:22:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8537791,2026-04-19 23:40:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8547152,2026-04-20 00:45:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8554500,2026-04-20 01:30:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8554898,2026-04-20 01:40:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8610698,2026-04-20 08:07:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8610804,2026-04-20 08:29:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8650924,2026-04-20 09:59:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8657652,2026-04-20 10:10:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8692118,2026-04-20 11:39:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8731663,2026-04-20 12:54:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8739015,2026-04-20 13:09:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8774610,2026-04-20 14:39:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8814767,2026-04-20 15:54:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
8820003,2026-04-20 16:07:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9136455,2026-04-21 10:20:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9142521,2026-04-21 11:49:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9167867,2026-04-21 13:04:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9174279,2026-04-21 13:19:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9209834,2026-04-21 14:49:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9249359,2026-04-21 16:05:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9254964,2026-04-21 16:17:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9294485,2026-04-21 17:55:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9333581,2026-04-21 19:19:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9336656,2026-04-21 19:37:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9358673,2026-04-21 21:00:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9375024,2026-04-21 22:01:00+02,60,"",Croydon (arriva),60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9436154,2026-04-22 06:58:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
9436099,2026-04-22 07:00:27+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
