service_id,operator_id,operator_name,line_name,description
14136,BTRI,Blue Triangle (Go Ahead),N15,Romford Market - Rush Green - Becontree Heath - Barking - East Ham - Canning Town - Limehouse - Stepney - Aldgate - St Paul's Cathedral - Oxford Circus
14137,BTRI,Blue Triangle (Go Ahead),SL4,North Greenwich / Canary Wharf (Silvertown Tunnel special) - Grove Park
14560,BMCS,BM Coaches,H30,Heathrow Terminal 4 - Cargo Centre -  Heathrow Terminal 5
6390,WNGS,Diamond Bus South East,H21,Heathrow Terminal 4 - Heathrow Terminal 4 - Feltham
6397,WNGS,Diamond Bus South East,N30,Acton - South Ealing - Osterley - Hatton Cross - Heathrow Terminal 4 - Cargo Centre - Heathrow Terminal 5 - Heathrow Central
14675,DLBU,Docklands Buses (Go Ahead),300,Wordsworth Health Centre - Canning Town or Rokeby School
14332,FLON,First Bus London,105,Greenford Station and Broadway - Dormers Wells - Southall - Heston - Cranford - Harlington Corner - Heathrow Central
14333,FLON,First Bus London,110,"Hounslow, Bus Station - Whitton - Richmond - Chiswick High Road - Hammersmith"
8322,FLON,First Bus London,116,Ashford Hospital - Hounslow Bus Station
8323,FLON,First Bus London,117,West London MHT or West Middlesex Hospital - Staines Bus Station
14634,FLON,First Bus London,125,Winchmore Hill - Whetstone - North Finchley - Finchley Central - Colindale Station
14370,FLON,First Bus London,13,North Finchley  - Golders Green  - Baker Street - Marble Arch - Victoria
14334,FLON,First Bus London,148,Camberwell Green - Elephant & Castle - Victoria - Notting Hill Gate - White City
14371,FLON,First Bus London,18,Sudbury - Wembley Central - Stonebridge - Harlesden - Kensal Green - Harrow Road - Paddington Green - Baker Street Station - Euston
14635,FLON,First Bus London,183,Golders Green - Woodstock - Hendon - West Hendon - Kingsbury - Kenton - Harrow - North Harrow - Pinner
8325,FLON,First Bus London,203,Hounslow - Hatton Cross - Bedfont - Stanwell - Staines
8326,FLON,First Bus London,216,Staines Bus Station - Kingston / Wood Street or Cromwell Road Bus Station
14372,FLON,First Bus London,218,Hammersmith - Starch Green - Acton Vale - Acton - North Acton
14335,FLON,First Bus London,220,Willesden Junction - White City - Shepherds Bush - Hammersmith - Wandsworth
14636,FLON,First Bus London,226,Ealing Broadway - Hanger Lane Station - Park Royal - Dollis Hill  - Golders Green
14373,FLON,First Bus London,23,Westbourne Park - Ladbroke Grove - Paddington - Marble Arch - Green Park - Piccadilly Circus - Aldwych
8337,FLON,First Bus London,235,Three Fishes - Great West Quarter
14336,FLON,First Bus London,272,"Chiswick, Grove Park - Turnham Green - Acton Vale - East Acton - Shepherds Bush"
14337,FLON,First Bus London,281,"Hounslow, Bus Station - Twickenham - Teddington - Kingston - Tolworth"
14637,FLON,First Bus London,288,"Queensbury, Morrisons - Merlin Crescent - Edgware - Wolmer Close - Broadfields Estate"
8321,FLON,First Bus London,290,Staines Bus Station - Arragon Road (TW1)
8328,FLON,First Bus London,293,London Road / Morden Station - Epsom Hospital
14374,FLON,First Bus London,295,"Ladbroke Grove, Sainsburys - Latimer Road Station - Shepherd's Bush Green - Hammersmith - Charing Cross Hospital - Fulham Broadway - Wandsworth Bridge - Clapham Junction"
14638,FLON,First Bus London,303,Edgware Station - Deans Lane - Hale Lane - Mill Hill Broadway - Royal Air Force Museum - Grahame Park (Quakers Course) - Colindale Station and Superstores - Princes Avenue - Kingsbury Circle
